"Show the popin","Show the popin"
"Show it only in the home page?","Show it only in the home page?"
"Cookie lifetime","Cookie lifetime"
"Time between each view for a visitor (in seconds, default 86000 = 1 day)", "Durée entre deux affichages pour un même client (defaut: 86000 = 1 jour)"
"CMS Block","CMS Block"
